# Acampamento Goblin & Resgate da Caravana  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | English                                                                                                                                                                                                                                                                                                                                                                                                                    |



<!-- ==== s05_o_altar_de_sangue_no_campo_goblin_summary.md ==== -->

# O Altar de Sangue no Campo Goblin

| **Português (PT-PT)** | **English (EN-US)** |
|-----------------------|---------------------|
| **Resumo:**<br> A party é enviada pelo taberneiro (ou pela sobrinha dele) para investigar ataques a caravanas. Seguindo pistas, descobrem um acampamento goblin improvisado numa clareira, guardado por patrulhas e por um ogre. Usando furtividade e ilusões, neutralizam o ogre e aproximam-se das jaulas onde humanos, elfos e goblins submissos estão presos. No centro, o xamã goblin Jogmaahx, acólito do Culto do Mal Elemental e devoto de Nerull, prepara um ritual sombrio.<br><br> Após combate contra goblins, mortos-vivos e o próprio xamã, a party encontra uma carta de Vaelkor Ashbrand que revela planos para novos ataques. Os prisioneiros humanos e élficos são libertados, enquanto o destino dos goblins é deixado em aberto. O altar de Nerull é destruído e as provas entregues na taberna, garantindo a recompensa prometida. | **Summary:**<br> The party is sent by the innkeeper (or his niece) to investigate caravan attacks. Following clues, they discover an improvised goblin camp in a clearing, guarded by patrols and an ogre. Using stealth and illusions, they neutralize the ogre and approach cages holding humans, elves, and submissive goblins. At the center, the goblin shaman Jogmaahx, an acolyte of the Cult of Elemental Evil and a devotee of Nerull, prepares a dark ritual.<br><br> After battling goblins, undead, and the shaman himself, the party finds a letter from Vaelkor Ashbrand revealing plans for further raids. The human and elven prisoners are freed, while the fate of the goblins is left unresolved. The Nerull altar is destroyed and the evidence delivered to the inn, earning the promised reward. |
| **PCs:** Usopp, Drayl Bharash, Wandering Sage, Sarvian Midlor, Lone Straw | **PCs:** Usopp, Drayl Bharash, Wandering Sage, Sarvian Midlor, Lone Straw |
| **NPCs:** Taverneiro, sobrinha, Jogmaahx (xamã goblin), ogre, patrulha goblin, escravos goblin, Vaelkor Ashbrand (mencionado), prisioneiros humanos/élficos | **NPCs:** Innkeeper, niece, Jogmaahx (goblin shaman), ogre, goblin patrol, goblin slaves, Vaelkor Ashbrand (mentioned), human/elven prisoners |
| **Loot:** 50GP cada, carta de Vaelkor Ashbrand, armas goblin | **Loot:** 50GP each, Vaelkor Ashbrand's letter, goblin weapons |
| **Data:** 2025-01-30 | **Date:** 2025-01-30 |
